name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,predicted_points,team_a
morgan,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
benjamin fredrick,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
adingra,5.1,39,1.0,613,2,1,1,1.47,1.6,46.95,
baker-boaitey,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
baleba,5.0,61,1.5,1948,2,1,7,2.93,1.03,63.4,
barco,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
cozier-duberry,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
dahoud,4.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
dunk,4.2,38,0.0,1560,0,1,4,0.69,0.64,38.78,
estupiñan,4.9,51,4.5,1689,1,1,2,0.56,1.72,53.81,
gilmour,5.0,3,0.0,97,0,0,0,0.08,0.04,5.349333333333333,
gross,6.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
hinshelwood,4.9,50,3.5,1252,2,1,5,1.35,1.24,53.89,
i.osman,5.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
igor,4.3,17,0.0,900,0,0,1,0.05,0.23,14.08,
joão pedro,5.6,111,5.0,1698,8,6,6,7.11,2.61,109.03,
kozlowski,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
lamptey,4.4,40,0.0,762,2,2,2,0.38,0.53,31.6,
march,6.5,3,0.5,37,0,0,0,0.07,0.02,10.10198717948718,
mazilu,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
milner,5.0,5,0.0,169,0,0,1,0.16,0.15,7.975333333333335,
minteh,5.1,76,2.0,1257,5,4,3,3.31,3.61,81.37,
mitoma,6.5,118,1.5,2312,7,4,6,7.28,3.66,113.6,
moder,4.4,4,0.0,9,0,0,0,0.0,0.53,9.68,
o’mahony,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
offiah,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
peupion,4.4,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
sarmiento,4.9,1,0.0,8,0,0,0,0.0,0.0,3.9237786938038095,
steele,4.1,9,0.0,180,0,0,1,0.0,0.0,3.9237786938038095,
undav,5.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
van hecke,4.5,77,5.0,2330,1,1,6,1.22,1.12,59.48,
veltman,4.3,58,0.0,1642,0,0,6,0.47,1.29,43.66333333333333,
verbruggen,4.5,82,1.0,2430,0,1,6,0.0,0.01,80.26986111111113,
webster,4.3,26,1.5,615,0,0,3,0.02,0.21,19.25,
welbeck,5.5,92,1.0,1482,7,4,6,6.66,1.11,93.08,
wieffer,4.7,30,0.5,483,1,2,1,0.5,0.22,30.7,
gruda,5.4,19,0.5,380,0,1,1,0.27,0.53,21.42,
ayari,5.0,47,3.0,1437,0,1,6,1.54,2.05,49.82,
moran,5.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
rushworth,3.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
georginio,5.1,95,3.5,1651,5,6,6,4.57,1.67,94.49,
f.kadıoğlu,4.4,19,0.0,385,1,0,2,0.44,0.31,21.542,
o'riley,5.5,25,0.0,468,1,1,2,1.15,1.24,58.28,
samuels,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
cahill,3.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
mcconville,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
slater,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
gómez,5.5,9,1.5,251,0,0,0,0.32,0.72,25.909166666666664,
hürzeler,1.1,54,6.5,0,0,0,0,0.0,0.0,3.9237786938038095,
knight,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
cashin,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
andrey santos,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
ângelo,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
b.badiashile,4.2,7,1.0,332,0,0,0,0.0,0.08,5.8125,
bergström,3.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
bettinelli,3.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
caicedo,4.9,73,3.0,2541,1,3,7,0.63,2.38,71.12,
casadei,4.4,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
chalobah,4.4,67,0.5,1355,3,1,3,1.42,0.56,35.92,
chukwuemeka,4.7,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
colwill,4.4,72,3.5,2430,1,1,6,0.74,1.19,68.75,
cucurella,5.2,93,8.5,2255,4,2,5,2.13,1.98,77.79,
d.d.fofana,5.4,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
deivid,4.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
dewsbury-hall,5.5,14,0.5,193,0,1,0,0.22,0.2,14.73,
enzo,4.7,93,4.0,2136,4,6,5,4.5,4.96,96.44,
gallagher,5.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
gilchrist,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
gusto,4.9,41,0.5,1545,0,1,2,1.33,1.44,43.54,
james,4.8,24,1.0,678,1,1,0,0.19,0.6,27.07,
kellyman,4.3,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
lavia,4.5,16,0.5,538,0,1,1,0.18,0.31,19.47,
lukaku,6.3,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
m.sarr,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
madueke,6.0,100,0.0,1449,7,4,3,7.58,2.23,101.15,
marc guiu,4.7,3,0.0,71,0,0,0,0.0,0.02,9.35128214840715,
mudryk,6.1,7,0.0,145,0,0,0,0.24,0.66,11.78,
n.jackson,7.7,108,0.0,1735,9,6,8,10.71,1.65,113.0,
nkunku,5.7,58,2.5,856,3,2,2,4.95,0.98,64.95,
palmer,10.8,181,0.5,2442,14,8,6,14.76,7.55,182.7,
petrović,4.4,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
renato veiga,4.4,7,0.0,176,0,0,1,0.16,0.15,7.975333333333335,
sánchez,4.5,86,6.0,2070,0,0,5,0.0,0.01,44.8585142912643,
tosin,4.2,50,4.0,1086,1,1,4,0.85,0.17,44.62,
w.fofana,4.3,26,3.5,1172,0,0,2,0.44,0.18,24.96,
sancho,6.2,68,2.5,1424,2,5,4,1.56,2.79,73.8,
neto,6.3,69,2.0,1524,3,4,4,2.04,3.03,74.95,
wiley,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
jørgensen,4.2,18,0.0,540,0,0,1,0.0,0.0,3.9237786938038095,
joão félix,5.9,24,0.0,362,1,2,1,2.3,0.45,33.59,
