id,first_name,second_name,team,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,selected_by_percent
308,Danny,Ward,11,3.9,2,0.0,135,0,0,0,2.1
160,Ben,Chilwell,7,4.6,2,0.0,49,0,0,0,0.5
607,Nico,O'Reilly,13,4.9,2,0.0,21,0,0,0,0.0
360,Rodrigo 'Rodri',Hernandez,13,6.2,2,0.0,65,0,0,0,0.8
646,Asher,Agbinone,7,4.5,2,0.0,4,0,0,0,0.0
666,Caleb,Kporha,7,4.0,2,0.0,11,0,0,0,0.0
271,Marcus,Myers-Harness,10,4.9,2,0.0,43,0,0,0,0.0
603,Harrison,Armstrong,8,4.4,2,0.0,47,0,0,0,0.1
660,Vítezslav,Jaros,12,4.0,1,0.0,11,0,0,0,0.1
709,Jayden,Danns,12,4.5,1,0.0,10,0,0,0,0.0
269,George,Edmundson,10,4.0,1,0.0,1,0,0,0,0.1
195,Chadi,Riad Dnanou,7,4.3,1,0.0,90,0,0,0,0.0
451,Samuel,Amo-Ameyaw,17,4.4,1,0.0,26,0,0,0,0.1
266,Harry,Clarke,10,4.0,1,0.0,377,0,0,0,0.1
605,Martial,Godo,9,4.4,1,0.0,14,0,0,0,0.0
515,Maxwel,Cornet,17,4.7,1,0.0,71,0,0,0,0.0
416,Matt,Targett,15,3.9,1,0.0,12,0,0,0,0.3
496,Sergio,Reguilón,18,4.1,1,0.0,121,0,0,0,0.2
225,Mason,Holgate,8,4.0,1,0.0,5,0,0,0,0.1
537,Francisco Jorge,Tomás Oliveira,20,4.5,1,0.0,6,0,0,0,0.1
699,Alfie,Dorrington,18,4.0,1,0.0,13,0,0,0,0.0
258,Carlos Vinícius,Alves Morais,9,5.0,1,0.0,3,0,0,0,0.3
256,Jay,Stansfield,9,5.0,1,0.0,1,0,0,0,0.0
141,Jeremy,Sarmiento Morante,5,4.9,1,0.0,8,0,0,0,0.0
707,Remy,Rees-Dottin,3,4.5,1,0.0,1,0,0,0,0.1
92,Rico,Henry,4,4.3,1,0.0,3,0,0,0,0.0
728,Zain,Silcott-Duberry,3,4.5,1,0.0,1,0,0,0,0.0
643,Kaelan,Casey,19,4.0,1,0.0,1,0,0,0,0.2
