name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,name
Brighton,50,3,0.0,97,0,0,0,0.08,0.04,Brighton
Brighton,65,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,49,50,3.5,1252,2,1,5,1.35,1.24,Brighton
Brighton,50,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,43,17,0.0,900,0,0,1,0.05,0.23,Brighton
Brighton,56,111,5.0,1698,8,6,6,7.11,2.61,Brighton
Brighton,45,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,44,40,0.0,762,2,2,2,0.38,0.53,Brighton
Brighton,65,3,0.5,37,0,0,0,0.07,0.02,Brighton
Brighton,45,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,50,5,0.0,169,0,0,1,0.16,0.15,Brighton
Brighton,51,76,2.0,1257,5,4,3,3.31,3.61,Brighton
Brighton,65,118,1.5,2312,7,4,6,7.28,3.66,Brighton
Brighton,44,4,0.0,9,0,0,0,0.00,0.53,Brighton
Brighton,45,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,40,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,44,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,49,1,0.0,8,0,0,0,0.00,0.00,Brighton
Brighton,41,9,0.0,180,0,0,1,0.00,0.00,Brighton
Brighton,55,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,45,77,5.0,2330,1,1,6,1.22,1.12,Brighton
Brighton,43,58,0.0,1642,0,0,6,0.47,1.29,Brighton
Brighton,45,82,1.0,2430,0,1,6,0.00,0.01,Brighton
Brighton,43,26,1.5,615,0,0,3,0.02,0.21,Brighton
Brighton,55,92,1.0,1482,7,4,6,6.66,1.11,Brighton
Brighton,47,30,0.5,483,1,2,1,0.50,0.22,Brighton
Brighton,54,19,0.5,380,0,1,1,0.27,0.53,Brighton
Brighton,50,47,3.0,1437,0,1,6,1.54,2.05,Brighton
Brighton,50,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,39,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,51,95,3.5,1651,5,6,6,4.57,1.67,Brighton
Brighton,44,19,0.0,385,1,0,2,0.44,0.31,Brighton
Brighton,55,25,0.0,468,1,1,2,1.15,1.24,Brighton
Brighton,40,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,39,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,40,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,40,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,55,9,1.5,251,0,0,0,0.32,0.72,Brighton
Brighton,11,54,6.5,0,0,0,0,0.00,0.00,Brighton
Brighton,45,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,45,0,0.0,0,0,0,0,0.00,0.00,Brighton
Chelsea,45,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,45,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,42,7,1.0,332,0,0,0,0.00,0.08,Chelsea
Chelsea,39,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,39,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,49,73,3.0,2541,1,3,7,0.63,2.38,Chelsea
Chelsea,44,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,44,67,0.5,1355,3,1,3,1.42,0.56,Chelsea
Chelsea,47,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,44,72,3.5,2430,1,1,6,0.74,1.19,Chelsea
Chelsea,52,93,8.5,2255,4,2,5,2.13,1.98,Chelsea
Chelsea,54,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,49,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,55,14,0.5,193,0,1,0,0.22,0.20,Chelsea
Chelsea,47,93,4.0,2136,4,6,5,4.50,4.96,Chelsea
Chelsea,59,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,40,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,49,41,0.5,1545,0,1,2,1.33,1.44,Chelsea
Chelsea,48,24,1.0,678,1,1,0,0.19,0.60,Chelsea
Chelsea,43,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,45,16,0.5,538,0,1,1,0.18,0.31,Chelsea
Chelsea,63,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,45,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,60,100,0.0,1449,7,4,3,7.58,2.23,Chelsea
